time,x,y,ekf_yaw(rad),ekf_yaw(deg),ekf_vx(m/s),ekf_wz(rad/s),imu_yaw(rad),imu_yaw(deg),imu_roll(deg),cam_yaw(rad),cam_yaw(deg),cam_yaw_unwrap(deg),cam_vel(m/s),enc_vel(m/s),enc_x(m),enc_y(m),enc_yaw(rad),enc_yaw(deg),X_cam(m),X_enc(m),cam_y(m),vanish_valid,ds_raw(m),s_fused(m),odom_x(m),odom_y(m),odom_raw_x(m),odom_raw_y(m),xy_imu_x(m),xy_imu_y(m),xy_cam_x(m),xy_cam_y(m),S_cam(m),S_enc(m),plan_x(m),plan_y(m),cmd_vx(m/s),cmd_wz(rad/s)
1768982847.142041,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,
1768982847.242041,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,
1768982847.342074,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,
1768982847.442143,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,
1768982847.542047,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,
1768982847.642030,0.000000,0.000000,-0.000000,-0.000,0.000000,-0.000000,0.000000,0.000,19.740,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,
1768982847.742033,0.000000,0.000000,-0.000000,-0.000,0.000000,-0.000000,0.000000,0.000,19.720,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,
1768982847.842050,0.000000,0.000000,0.000000,0.000,0.000000,-0.000000,0.000524,0.030,19.720,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,
1768982847.942026,0.000000,0.000000,0.000000,0.000,0.000000,-0.000000,0.002618,0.150,19.730,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,
1768982848.042051,0.000000,0.000000,0.000000,0.000,0.000000,-0.000000,0.003840,0.220,19.730,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,
