time,x,y,ekf_yaw(rad),ekf_yaw(deg),ekf_vx(m/s),ekf_wz(rad/s),imu_yaw(rad),imu_yaw(deg),imu_roll(deg),cam_yaw(rad),cam_yaw(deg),cam_yaw_unwrap(deg),cam_vel(m/s),enc_vel(m/s),enc_x(m),enc_y(m),enc_yaw(rad),enc_yaw(deg),X_cam(m),X_enc(m),cam_y(m),vanish_valid,ds_raw(m),s_fused(m),odom_x(m),odom_y(m),odom_raw_x(m),odom_raw_y(m),xy_imu_x(m),xy_imu_y(m),xy_cam_x(m),xy_cam_y(m),S_cam(m),S_enc(m),plan_x(m),plan_y(m)
1768375057.57929,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375057.67928,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375057.77939,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375057.87929,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375057.97933,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375058.07929,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375058.17929,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375058.27931,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375058.37931,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375058.47929,0,0,0,0,0,0,0,0,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375058.57973,0,0,0,0,0,0,0.000175,0.01,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375058.67929,0,0,0,0,0,0,0.000175,0.01,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375058.77932,0,0,0,0,0,0,0.000175,0.01,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375058.87931,0,0,0,0,0,0,0.000175,0.01,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375058.97932,0,0,0,0,0,0,0.000349,0.02,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375059.07931,0,0,0,0,0,0,0.000349,0.02,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375059.17936,0,0,0,0,0,0,0.000349,0.02,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375059.27931,0,0,0,0,0,0,0.000349,0.02,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375059.37931,0,0,0,0,0,0,0.000349,0.02,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375059.4793,0,0,0,0,0,0,0.000349,0.02,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375059.57933,0,0,0,0,0,0,0.000524,0.03,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375059.67939,0,0,0,0,0,0,0.000524,0.03,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375059.7793,0,0,0,0,0,0,0.000524,0.03,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375059.87931,0,0,0,0,0,0,0.000524,0.03,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375059.97943,0,0,0,0,0,0,0.000524,0.03,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375060.07927,0,0,0,0,0,0,0.000698,0.04,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375060.17931,0,0,0,0,0,0,0.000698,0.04,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375060.27931,0,0,0,0,0,0,0.000698,0.04,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375060.37932,0,0,0,0,0,0,0.000698,0.04,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375060.47933,0,0,0,0,0,0,0.000698,0.04,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375060.57929,0,0,0,0,0,0,0.000698,0.04,6.58,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375060.67932,0,0,0,0,0,0,0.000698,0.04,6.57,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375060.77931,0,0,0,0,0,0,0.000698,0.04,6.57,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375060.87931,0,0,0,0,0,0,0.000698,0.04,6.57,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375060.97944,0,0,0,0,0,0,0.000698,0.04,6.57,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
1768375061.07944,0,0,0,0,0,0,0.000698,0.04,6.57,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
