time,x,y,ekf_yaw(rad),ekf_yaw(deg),ekf_vx(m/s),ekf_wz(rad/s),imu_yaw(rad),imu_yaw(deg),imu_roll(deg),cam_yaw(rad),cam_yaw(deg),cam_yaw_unwrap(deg),cam_vel(m/s),enc_vel(m/s),enc_x(m),enc_y(m),enc_yaw(rad),enc_yaw(deg),X_cam(m),X_enc(m),cam_y(m),vanish_valid,ds_raw(m),s_fused(m),odom_x(m),odom_y(m),odom_raw_x(m),odom_raw_y(m),xy_imu_x(m),xy_imu_y(m),xy_cam_x(m),xy_cam_y(m),S_cam(m),S_enc(m),plan_x(m),plan_y(m)
1768612368.158314,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612368.258384,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612368.358358,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612368.458386,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612368.558342,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612368.658310,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612368.758300,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,0.000,9.080,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612368.858324,0.000000,0.000000,-0.000000,-0.000,0.000000,0.000000,-0.000873,-0.050,9.080,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612368.958294,0.000000,0.000000,-0.000000,-0.000,0.000000,0.000000,-0.001920,-0.110,9.130,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612369.058310,0.000000,0.000000,-0.000000,-0.000,0.000000,0.000000,-0.002618,-0.150,9.120,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612369.158296,0.000000,0.000000,-0.000000,-0.000,0.000000,0.000000,-0.002618,-0.150,9.120,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612369.258308,0.000000,0.000000,-0.000000,-0.000,0.000000,-0.000000,-0.002094,-0.120,9.130,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612369.358290,0.000000,0.000000,-0.000000,-0.000,0.000000,-0.000000,-0.001745,-0.100,9.090,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612369.458327,0.000000,0.000000,-0.000000,-0.000,0.000000,0.000000,-0.001571,-0.090,9.070,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612369.558332,0.000000,0.000000,-0.000000,-0.000,0.000000,0.000000,-0.001396,-0.080,9.100,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612369.658325,0.000000,0.000000,-0.000000,-0.000,0.000000,0.000000,-0.001396,-0.080,9.060,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612369.758283,0.000000,0.000000,-0.000000,-0.000,0.000000,-0.000000,-0.001920,-0.110,9.090,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612369.858328,0.000000,0.000000,-0.000000,-0.000,0.000000,-0.000000,-0.003142,-0.180,9.110,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612369.958307,0.000000,0.000000,-0.000000,-0.000,0.000000,-0.000000,-0.003665,-0.210,9.080,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612370.058307,0.000000,0.000000,-0.000000,-0.000,0.000000,-0.000000,-0.004014,-0.230,9.100,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612370.158334,0.000000,0.000000,-0.000000,-0.000,0.000000,-0.000000,-0.005236,-0.300,9.100,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612370.258354,0.000000,0.000000,-0.000000,-0.000,0.000000,-0.000000,-0.006458,-0.370,9.120,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612370.358391,0.000000,0.000000,-0.000000,-0.000,0.000000,-0.000000,-0.007156,-0.410,9.100,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1768612370.458301,0.000000,0.000000,-0.000000,-0.000,0.000000,-0.000000,-0.007330,-0.420,9.110,,,,,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
